epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,11,-229,-20.8181818182,-0.119717833898
2,13,-273,-21.0,-0.148742061756
3,10,-206,-20.6,-0.197451207987
4,12,-250,-20.8333333333,-0.235102853903
5,12,-250,-20.8333333333,-0.232823902357
6,8,-155,-19.375,-0.205408672887
7,12,-248,-20.6666666667,-0.212946585326
8,11,-227,-20.6363636364,-0.199814023817
9,11,-226,-20.5454545455,-0.191247014839
10,11,-224,-20.3636363636,-0.192947650982
11,9,-182,-20.2222222222,-0.186638555893
12,8,-160,-20.0,-0.209304959073
13,9,-182,-20.2222222222,-0.228383191242
14,8,-159,-19.875,-0.233144261739
15,8,-156,-19.5,-0.202890701004
16,8,-161,-20.125,-0.211989182319
17,9,-180,-20.0,-0.228312524654
18,7,-140,-20.0,-0.226734183516
19,9,-182,-20.2222222222,-0.207621191699
20,9,-183,-20.3333333333,-0.238893244239
21,7,-135,-19.2857142857,-0.221427999161
22,7,-134,-19.1428571429,-0.232447012644
23,10,-203,-20.3,-0.242628288952
24,7,-134,-19.1428571429,-0.205947734154
25,7,-136,-19.4285714286,-0.195558493802
26,7,-135,-19.2857142857,-0.172637321628
27,6,-114,-19.0,-0.188516989475
28,7,-136,-19.4285714286,-0.200673752986
29,7,-130,-18.5714285714,-0.203947816321
30,6,-119,-19.8333333333,-0.170919410182
31,7,-133,-19.0,-0.214013607122
32,7,-130,-18.5714285714,-0.206114564804
33,7,-131,-18.7142857143,-0.212396882232
34,7,-134,-19.1428571429,-0.164031557315
35,6,-111,-18.5,-0.158913330192
36,7,-133,-19.0,-0.139972121477
37,6,-110,-18.3333333333,-0.134574208509
38,6,-109,-18.1666666667,-0.160502441323
39,6,-108,-18.0,-0.162405115037
40,7,-123,-17.5714285714,-0.141480653046
41,7,-132,-18.8571428571,-0.115163903276
42,7,-135,-19.2857142857,-0.134348881856
43,9,-183,-20.3333333333,-0.142801506432
44,6,-111,-18.5,-0.133630003119
45,7,-137,-19.5714285714,-0.134323212239
46,5,-86,-17.2,-0.109423841663
47,7,-136,-19.4285714286,-0.123884245602
48,8,-157,-19.625,-0.12517646183
49,7,-135,-19.2857142857,-0.140611938718
50,8,-151,-18.875,-0.110548409214
51,7,-137,-19.5714285714,-0.121728578247
52,6,-114,-19.0,-0.158055980741
53,6,-112,-18.6666666667,-0.149805925644
54,7,-134,-19.1428571429,-0.124596283706
55,7,-140,-20.0,-0.129893811117
56,7,-137,-19.5714285714,-0.140489002932
57,6,-103,-17.1666666667,-0.130470381796
58,6,-105,-17.5,-0.131067758822
59,6,-117,-19.5,-0.137456605297
60,5,-86,-17.2,-0.129329205712
61,6,-104,-17.3333333333,-0.149922675663
62,6,-114,-19.0,-0.137525939394
63,7,-135,-19.2857142857,-0.116688052136
64,8,-159,-19.875,-0.114853988811
65,5,-85,-17.0,-0.136179382221
66,9,-181,-20.1111111111,-0.117314674829
67,6,-115,-19.1666666667,-0.120546501698
68,6,-112,-18.6666666667,-0.125893393087
69,6,-110,-18.3333333333,-0.138603344061
70,6,-113,-18.8333333333,-0.136380423454
71,6,-111,-18.5,-0.121684794568
72,7,-123,-17.5714285714,-0.114392618858
73,6,-113,-18.8333333333,-0.0853734395816
74,6,-115,-19.1666666667,-0.0953917179839
75,5,-95,-19.0,-0.127816147665
76,6,-111,-18.5,-0.105591559138
77,7,-129,-18.4285714286,-0.0968459133734
78,6,-104,-17.3333333333,-0.110748231099
79,5,-81,-16.2,-0.0935394683667
80,6,-110,-18.3333333333,-0.0793024047511
81,7,-133,-19.0,-0.0921478990372
82,6,-107,-17.8333333333,-0.101975638128
83,6,-110,-18.3333333333,-0.0933299591462
84,6,-107,-17.8333333333,-0.0867185973446
85,6,-109,-18.1666666667,-0.102088088284
86,6,-105,-17.5,-0.0995801038807
87,7,-138,-19.7142857143,-0.121146037262
88,6,-110,-18.3333333333,-0.118913199159
89,10,-204,-20.4,-0.112124927752
90,5,-88,-17.6,-0.140962305698
91,6,-108,-18.0,-0.113433501141
92,5,-90,-18.0,-0.118014549275
93,11,-229,-20.8181818182,-0.0998836407415
94,6,-111,-18.5,-0.114624204715
95,7,-130,-18.5714285714,-0.106297691255
96,6,-110,-18.3333333333,-0.132782274848
97,7,-131,-18.7142857143,-0.128608742703
98,5,-88,-17.6,-0.124899755376
99,6,-109,-18.1666666667,-0.103311305281
100,6,-115,-19.1666666667,-0.113850094429
